city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code
Zaïo,2026-09-20,28.4,20.9,0.0,0,17.8,39.6,3
Zaïo,2026-09-21,28.7,19.5,0.0,0,16.1,38.2,45
Zaïo,2026-09-22,28.4,16.9,0.0,0,11.8,24.5,45
Aguelmous,2026-09-20,32.3,19.4,0.0,0,21.0,41.4,2
Aguelmous,2026-09-21,32.3,19.7,0.0,0,23.1,46.4,3
Aguelmous,2026-09-22,31.1,18.3,0.0,0,18.1,39.2,1
Asilah,2026-09-20,29.8,24.0,0.0,0,30.7,54.4,1
Asilah,2026-09-21,31.0,23.6,0.0,0,23.9,42.1,1
Asilah,2026-09-22,30.9,22.4,0.0,0,19.2,34.2,1
Imzouren,2026-09-20,29.7,21.0,0.0,0,23.7,42.1,2
Imzouren,2026-09-21,29.3,19.8,0.0,0,18.4,32.8,1
Imzouren,2026-09-22,27.5,18.1,0.0,0,14.8,26.6,3
Mediouna,2026-09-20,35.5,19.3,0.0,0,17.7,32.0,2
Mediouna,2026-09-21,37.5,21.1,0.0,0,20.0,36.4,2
Mediouna,2026-09-22,35.0,18.3,0.0,0,16.9,30.2,0
Demnat,2026-09-20,32.8,22.1,0.0,10,13.2,27.0,3
Demnat,2026-09-21,31.9,21.3,0.7,5,13.5,25.6,3
Demnat,2026-09-22,31.9,19.7,0.0,0,15.1,29.5,1
Aïn Taoujdat,2026-09-20,35.3,19.5,0.0,0,16.6,32.0,2
Aïn Taoujdat,2026-09-21,34.6,20.6,0.0,0,15.6,29.9,2
Aïn Taoujdat,2026-09-22,33.2,18.9,0.0,0,14.1,27.0,2
Sidi Smai’il,2026-09-20,36.5,19.7,0.0,0,15.6,28.4,2
Sidi Smai’il,2026-09-21,36.4,20.9,0.0,0,15.6,27.4,2
Sidi Smai’il,2026-09-22,35.7,17.4,0.0,0,17.3,30.6,45
Moulay Bousselham,2026-09-20,35.2,21.1,0.0,0,14.8,28.4,1
Moulay Bousselham,2026-09-21,32.4,20.6,0.0,0,18.1,29.9,1
Moulay Bousselham,2026-09-22,32.2,20.3,0.0,0,17.6,30.6,3
Mechraa Bel Ksiri,2026-09-20,38.7,24.5,0.0,0,23.5,43.6,1
Mechraa Bel Ksiri,2026-09-21,37.8,25.0,0.0,0,18.5,34.6,1
Mechraa Bel Ksiri,2026-09-22,36.3,20.8,0.0,0,16.0,30.6,3
Souk et Tnine Jorf el Mellah,2026-09-20,38.0,24.7,0.0,0,22.4,42.1,0
Souk et Tnine Jorf el Mellah,2026-09-21,37.5,25.1,0.0,0,18.6,34.6,1
Souk et Tnine Jorf el Mellah,2026-09-22,36.0,22.8,0.0,0,15.0,27.7,1
Zeghanghane,2026-09-20,26.0,22.4,1.0,38,27.0,49.3,80
Zeghanghane,2026-09-21,26.2,21.5,0.0,3,22.9,43.6,3
Zeghanghane,2026-09-22,26.5,18.2,0.0,0,17.9,35.3,3
Oulad Barhil,2026-09-20,37.7,24.5,0.0,18,22.4,44.6,3
Oulad Barhil,2026-09-21,37.8,22.2,0.0,10,23.8,44.3,3
Oulad Barhil,2026-09-22,38.6,20.8,0.0,0,17.0,32.8,1
Bir Jdid,2026-09-20,30.8,19.6,0.0,0,14.7,29.5,2
Bir Jdid,2026-09-21,32.8,20.7,0.0,0,15.5,30.2,2
Bir Jdid,2026-09-22,31.0,18.6,0.0,0,15.2,30.2,0
Bou Arfa,2026-09-20,27.1,15.4,0.4,25,14.5,23.0,80
Bou Arfa,2026-09-21,28.4,16.4,0.2,0,19.0,29.5,80
Bou Arfa,2026-09-22,26.8,14.9,0.0,0,12.0,18.7,3
Tahannawt,2026-09-20,33.2,23.1,0.0,20,16.9,32.8,3
